lam,gamma_c,gamma_c_lo,gamma_c_hi,milroy_eq,ratio,alpha_s,t_pen,Nr,dt,max_periods,n_evals,seconds
1.0,4.23883,4.23194,4.24572,1.12,3.78467,0.900247,1,24,0.000756144,60,14,289.1
1.5,nan,nan,nan,1.68,nan,nan,nan,24,0.00170132,60,5,45.1
2.0,4.17791,4.17069,4.18513,2.24,1.86514,0.895862,1,24,0.00302457,60,13,60.6
2.5,4.34383,4.33344,4.35422,2.8,1.55137,0.900894,1.76899,24,0.0047259,60,11,34.7
3.0,4.43691,4.42969,4.44412,3.36,1.32051,0.900395,1,25,0.00625,60,10,23.4
3.5,4.6037,4.59528,4.61213,3.92,1.17441,0.900744,3.26929,29,0.00625,60,10,21.1
4.0,4.8265,4.816,4.837,4.48,1.07734,0.900179,5.76272,33,0.00488281,60,8,16.5
4.5,5.14631,5.1345,5.15813,5.04,1.02109,0.900258,11.864,37,0.00385802,60,8,22.8
5.0,5.58688,5.57375,5.6,5.6,0.997656,0.903604,48.4621,41,0.003125,60,8,47.8
5.5,6.37656,6.36212,6.391,6.16,1.03516,0.925169,57.4462,45,0.00258264,60,8,54.9
6.0,7.17675,7.161,7.1925,6.72,1.06797,0.920996,59.2098,49,0.00217014,60,8,68.3
6.5,7.97956,7.9625,7.99663,7.28,1.09609,0.932903,59.2175,53,0.00184911,60,8,75.4
7.0,8.81359,8.79355,8.83364,8.55299,1.03047,0.966467,53.4783,57,0.00159439,60,8,78.4
8.0,10.4402,10.4162,10.4642,10.2245,1.02109,0.973335,59.9299,65,0.0012207,64,8,107.7
9.0,12.0191,11.9914,12.0468,11.8251,1.01641,0.954444,80.2831,73,0.000964506,81,8,182.7
10.0,13.6385,13.607,13.6699,13.4183,1.01641,0.917903,99.6846,81,0.00078125,100,8,285.5
12.0,16.9803,16.9413,17.0193,16.6295,1.02109,0.989379,136.924,97,0.000542535,144,8,565.1
14.0,20.3122,20.2656,20.3588,19.8926,1.02109,0.972466,195.705,113,0.000398597,196,8,1065.3
16.0,23.8103,23.7559,23.8647,23.2119,1.02578,0.995908,228.317,129,0.000305176,256,8,1863.1
18.0,27.2716,27.2093,27.3339,26.5862,1.02578,0.996565,289.414,145,0.000241127,324,8,3122.5
20.0,30.7869,30.7166,30.8572,30.0131,1.02578,0.997616,351.772,161,0.000195313,400,8,4740.6
25.0,39.613,39.522,39.7039,38.7946,1.02109,0.998076,572.151,201,0.000125,625,8,11222.0
