shot,ohm,noDC,reversed,p_mtorr,t_on,ratio_x,ratio_z,dx_final,dz_final,t_couple90_ms,Te_x_eV,Te_z_eV,Te_x_at_floor,Te_z_at_floor
4666,,True,False,22,41.6,0.8605206591831861,0.9541150764748726,-0.577,-0.194,1.6000000000000014,0.06011827506206585,0.03529469999999999,False,True
4667,2,False,False,22,41.6,0.8840064045543498,0.9586466165413534,-0.655,-0.242,1.6000000000000014,0.04828475515672954,0.03529469999999999,False,True
4668,7,False,False,22,44.8,0.8333812949640287,0.9405204460966543,-0.578,-0.209,1.6000000000000014,0.07105195174770408,0.03529469999999999,False,True
4670,5,False,False,22,44.8,0.8682148040638608,0.9624235362656569,-0.446,-0.129,0.8000000000000043,0.05664840571360233,0.03529469999999999,False,True
4671,7,False,False,22,43.2,0.8301500682128241,0.8969833119383825,-0.517,-0.318,1.5999999999999943,0.07226870967028722,0.03529469999999999,False,True
4672,10,False,False,22,45.6,0.7451189208377706,0.8306480486931613,-0.711,-0.469,2.3999999999999986,0.10173463452623949,0.07208204006892635,False,False
4673,12,False,False,22,45.6,0.6931394481730052,0.819371727748691,-0.82,-0.48,2.3999999999999986,0.11905338547469842,0.07624179868290999,False,False
4674,15,False,False,22,43.2,0.654517254749903,0.7993693338588885,-0.882,-0.514,2.3999999999999986,0.13215915544634754,0.08335106991305366,False,False
4675,22,False,False,22,45.6,0.6704931972789115,0.7185813415574404,-0.775,-0.711,1.6000000000000014,0.1266956080490977,0.11056105274702097,False,False
4676,7,False,False,22,43.2,0.6793626117372716,0.7804212168486739,-0.809,-0.558,3.1999999999999957,0.12369008071372384,0.089873777229995,False,False
4678,7,False,False,15,44.8,0.7596086652690426,0.8795518207282914,-0.687,-0.35,1.6000000000000014,0.10519730988826265,0.0617353544077901,False,False
4679,7,False,False,10,44.0,0.8607929515418503,0.9530394698934024,-0.472,-0.164,1.6000000000000014,0.07721360189884038,0.024706289999999992,False,True
4680,7,False,False,7,45.6,0.8871570060074688,0.9510976532929598,-0.695,-0.323,1.6000000000000014,0.07262604689380373,0.039493594865018335,False,False
4681,7,False,False,34,45.6,0.5506692160611854,0.5955847815875999,-0.93,-0.859,4.799999999999997,0.15871620681516355,0.14192183764074945,False,False
4682,7,False,False,51,45.6,0.4906735751295337,0.513296537882589,-0.991,-0.973,13.600000000000001,0.1711830073533486,0.16174133651211323,False,False
4683,7,False,False,69,44.8,0.43516972732331666,0.4290322580645161,-1.024,-1.067,18.400000000000006,0.18637583757538506,0.1893424764471087,False,False
4684,7,False,False,84,44.8,0.40011547344110854,0.3811092806150467,-1.039,-1.106,11.200000000000003,0.19693944406846187,0.20714191626861156,False,False
4685,7,False,False,99,46.4,0.3791008505467801,0.36101295641931685,-1.036,-1.098,9.600000000000001,0.20205441404315372,0.21231409080114336,False,False
4686,0,False,False,62,45.6,0.7278447823807026,0.7493593029215786,-0.522,-0.493,0.7999999999999972,0.07576886143956559,0.06556172091801048,False,False
4687,2,False,False,62,45.6,0.5769230769230769,0.5819415448851775,-0.789,-0.803,1.6000000000000014,0.13095676565820474,0.12910647799944616,False,False
4688,5,False,False,62,45.6,0.48580786026200873,0.4822845055526177,-0.947,-0.986,4.799999999999997,0.16702484013986868,0.1685414147129689,False,False
4689,7,False,False,60,45.6,0.45894507884719954,0.45219228737453776,-0.982,-1.026,4.799999999999997,0.17996450029514877,0.18306254775227518,False,False
4690,12,False,False,60,45.6,0.4222604704532415,0.4102422907488987,-1.02,-1.073,4.799999999999997,0.19742380363864867,0.2035085892506947,False,False
4691,0,False,True,60,45.6,0.643956043956044,0.6483202287348105,-0.492,-0.491,1.6000000000000014,0.1079800664577132,0.10644299743155464,False,False
4692,2,False,True,60,45.6,0.5928753180661578,0.6231249999999999,-0.64,-0.598,1.6000000000000014,0.1261831141455715,0.11533886464224855,False,False
4693,5,False,True,60,45.6,0.629262244265344,0.6769884638737098,-0.601,-0.531,1.6000000000000014,0.11316497638179311,0.0963137536776162,False,False
4694,7,False,True,60,44.8,0.6356923076923077,0.6868626274745051,-0.595,-0.518,1.6000000000000014,0.11089336361091613,0.09278151849659581,False,False
4695,12,False,True,60,45.6,0.6148148148148148,0.6527862829148806,-0.618,-0.565,1.6000000000000014,0.11829400095779072,0.10487021053543304,False,False
4696,12,False,False,60,45.6,0.4140534262485482,0.3959505061867266,-1.016,-1.078,4.799999999999997,0.20155772104385972,0.211010105264492,False,False
4697,2,False,False,60,45.6,0.5710306406685236,0.5756918068366793,-0.774,-0.791,1.6000000000000014,0.13420813312203933,0.13247890928449124,False,False
