p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
10.0,0.5,1e-06,323879696508292.56,2.3489143005944566,6463.85687465188,2.6307840166657916,2457.007809726644,0.008859508072304621,3.543803228921849e-05
10.0,0.5,1e-05,3238796965082926.0,2.468660844758727,713.9704627141693,2.7649001461297744,258.2264910049515,0.030238145114968643,0.00012095258045987457
10.0,0.5,0.0001,3.2387969650829256e+16,2.608811445163793,79.73385643161306,2.9218688185834485,27.28865030643944,0.10563099567737357,0.00042252398270949424
10.0,0.5,0.001,3.2387969650829254e+17,2.775907673653641,9.027498449269896,3.1090165944920782,2.903650776667766,0.4444332374408446,0.0017777329497633786
10.0,0.5,0.01,3.2387969650829256e+18,2.979862154110295,1.0402787724111409,3.337445612603531,0.31169909360698844,inf,inf
10.0,0.5,0.1,3.238796965082926e+19,3.236580916972575,0.12272423284157645,3.6249706270092847,0.03385523510926427,inf,inf
10.0,0.5,1.0,3.2387969650829256e+20,3.573605372624384,0.014961342752466952,4.00243801733931,0.003738057325972724,inf,inf
10.0,1.057371263440564,1e-06,323879696508292.56,3.9411775013113046,18197.40150559368,4.414118801468661,4122.544572098752,0.019253607997671684,7.701443199068673e-05
10.0,1.057371263440564,1e-05,3238796965082926.0,4.1239070752004805,1992.3935585137165,4.618775924224539,431.3683086603137,0.06523606182586923,0.00026094424730347695
10.0,1.057371263440564,0.0001,3.2387969650829256e+16,4.334662848945984,220.12432377477487,4.854822390819503,45.34137524598865,0.22454128509795013,0.0008981651403918005
10.0,1.057371263440564,0.001,3.2387969650829254e+17,4.5814292987959595,24.590047368959322,5.131200814651475,4.7922597959420425,0.8577151334159422,0.003430860533663769
10.0,1.057371263440564,0.01,3.2387969650829256e+18,4.875787550684994,2.7851393924505103,5.460882056767194,0.5100163972593275,inf,inf
10.0,1.057371263440564,0.1,3.238796965082926e+19,5.235308226800091,0.3211011781197737,5.863545214016102,0.054762292503896755,inf,inf
10.0,1.057371263440564,1.0,3.2387969650829256e+20,5.688230370056722,0.03790633017542611,6.370818014463529,0.005949994190599731,inf,inf
10.0,2.23606797749979,1e-06,323879696508292.56,6.6365590952225535,51599.24171794038,7.83517250786736,6585.591021273515,0.04319283050498652,0.00017277132201994608
10.0,2.23606797749979,1e-05,3238796965082926.0,6.918715799159537,5608.004719278051,8.405397859752512,667.1908710152566,0.14758485067831953,0.0005903394027132781
10.0,2.23606797749979,0.0001,3.2387969650829256e+16,7.240219232682826,614.1307185417303,8.971815731172011,68.45110699364585,0.5079243443866249,0.0020316973775464995
10.0,2.23606797749979,0.001,3.2387969650829254e+17,7.6111559213267475,67.86699585587378,9.591483502910984,7.07575588648788,1.8702136210249478,0.007480854484099792
10.0,2.23606797749979,0.01,3.2387969650829256e+18,8.045648115629913,7.583670518712657,10.298202963641769,0.7364071717645417,inf,inf
10.0,2.23606797749979,0.1,3.238796965082926e+19,8.564199449560425,0.8592725405920061,11.130010936493681,0.07720320721110677,inf,inf
10.0,2.23606797749979,1.0,3.2387969650829256e+20,9.197955774990758,0.09911514526264385,12.140383542768545,0.00816408681929016,inf,inf
10.0,4.728708045015879,1e-06,323879696508292.56,11.209439120947195,147205.8783272351,15.354654308256311,9587.052588222805,0.1021263940206013,0.0004085055760824052
10.0,4.728708045015879,1e-05,3238796965082926.0,11.649488235772516,15899.046586713357,16.06329076019041,989.7751851766204,0.34344330199397055,0.0013737732079758822
10.0,4.728708045015879,0.0001,3.2387969650829256e+16,12.14579506629972,1728.2608249822008,16.865525615926288,102.47298924085631,1.1653779780072802,0.004661511912029121
10.0,4.728708045015879,0.001,3.2387969650829254e+17,12.711468205293968,189.2992174563879,17.78393833415608,10.644392366836833,4.140417463411277,0.016561669853645107
