t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.011,0.0,0.0,0.01,0.011
0.8,-0.017,-0.02,0.001,0.001,0.018,0.021
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.023
3.2,-0.019,-0.022,0.001,0.001,0.02,0.023
4.0,-0.02,-0.022,0.001,0.001,0.02,0.023
4.8,-0.02,-0.022,0.001,0.001,0.021,0.023
5.6,-0.02,-0.023,0.001,0.001,0.02,0.023
6.4,-0.02,-0.022,0.001,0.001,0.02,0.023
7.2,-0.02,-0.022,0.001,0.001,0.02,0.023
8.0,-0.02,-0.022,0.001,0.001,0.021,0.023
8.8,-0.02,-0.022,0.001,0.001,0.021,0.023
9.6,-0.02,-0.022,0.001,0.001,0.021,0.023
10.4,-0.02,-0.022,0.001,0.001,0.021,0.023
11.2,-0.02,-0.022,0.001,0.001,0.02,0.024
12.0,-0.02,-0.023,0.001,0.001,0.021,0.024
12.8,-0.02,-0.022,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.02,0.022
15.2,-0.019,-0.021,0.001,0.001,0.02,0.022
16.0,-0.02,-0.022,0.001,0.001,0.02,0.023
16.8,-0.02,-0.021,0.001,0.001,0.02,0.022
17.6,-0.02,-0.022,0.001,0.001,0.021,0.023
18.4,-0.02,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.02,-0.022,0.001,0.001,0.021,0.023
20.8,-0.02,-0.022,0.001,0.001,0.021,0.023
21.6,-0.019,-0.022,0.001,0.001,0.02,0.023
22.4,-0.02,-0.022,0.001,0.001,0.02,0.023
23.2,-0.02,-0.023,0.001,0.001,0.021,0.024
24.0,-0.019,-0.023,0.001,0.001,0.021,0.024
24.8,-0.019,-0.022,0.001,0.001,0.021,0.023
25.6,-0.02,-0.022,0.001,0.001,0.021,0.023
26.4,-0.02,-0.023,0.001,0.001,0.021,0.024
27.2,-0.019,-0.022,0.001,0.001,0.02,0.023
28.0,-0.019,-0.022,0.001,0.001,0.02,0.023
28.8,-0.019,-0.022,0.001,0.001,0.02,0.023
29.6,-0.019,-0.022,0.001,0.001,0.02,0.022
30.4,-0.02,-0.022,0.001,0.001,0.021,0.023
31.2,-0.02,-0.022,0.001,0.001,0.021,0.023
32.0,-0.02,-0.022,0.001,0.001,0.021,0.023
32.8,-0.019,-0.022,0.001,0.001,0.02,0.023
33.6,-0.019,-0.022,0.001,0.001,0.02,0.023
34.4,-0.02,-0.023,0.001,0.001,0.02,0.024
35.2,-0.02,-0.023,0.001,0.001,0.021,0.024
36.0,-0.02,-0.023,0.001,0.001,0.021,0.024
36.8,-0.02,-0.022,0.001,0.001,0.02,0.023
37.6,-0.02,-0.022,0.001,0.001,0.021,0.023
38.4,-0.02,-0.023,0.001,0.001,0.021,0.023
39.2,-0.02,-0.023,0.001,0.001,0.021,0.024
40.0,-0.019,-0.023,0.001,0.001,0.02,0.024
40.8,-0.019,-0.023,0.001,0.001,0.02,0.024
41.6,-0.18,-0.091,1.19,1.431,1.37,1.522
42.4,-0.512,-0.194,3.409,4.045,3.921,4.239
43.2,-0.711,-0.346,4.558,5.334,5.269,5.68
44.0,-0.693,-0.474,3.144,3.622,3.836,4.096
44.8,-0.718,-0.607,1.916,2.144,2.633,2.751
45.6,-0.824,-0.657,1.787,1.981,2.611,2.638
46.4,-0.832,-0.667,1.763,1.93,2.595,2.597
47.2,-0.822,-0.662,1.775,1.943,2.597,2.606
48.0,-0.81,-0.655,1.804,1.974,2.614,2.63
48.8,-0.781,-0.674,1.848,1.998,2.629,2.672
49.6,-0.761,-0.686,1.889,2.026,2.65,2.711
50.4,-0.775,-0.66,1.918,2.073,2.693,2.732
51.2,-0.809,-0.609,1.933,2.137,2.742,2.746
52.0,-0.83,-0.567,1.962,2.2,2.792,2.767
52.8,-0.803,-0.573,2.016,2.222,2.819,2.796
53.6,-0.82,-0.517,2.035,2.284,2.855,2.802
54.4,-0.869,-0.438,2.024,2.362,2.894,2.8
55.2,-0.832,-0.49,2.063,2.363,2.895,2.853
56.0,-0.704,-0.638,2.155,2.307,2.859,2.945
56.8,-0.64,-0.683,2.214,2.319,2.854,3.002
57.6,-0.652,-0.6,2.239,2.412,2.891,3.012
58.4,-0.651,-0.534,2.283,2.496,2.934,3.03
59.2,-0.661,-0.484,2.317,2.561,2.978,3.045
60.0,-0.707,-0.406,2.321,2.628,3.029,3.034
60.8,-0.737,-0.363,2.32,2.663,3.057,3.026
61.6,-0.728,-0.382,2.347,2.667,3.075,3.048
62.4,-0.745,-0.385,2.382,2.683,3.127,3.068
63.2,-0.72,-0.421,2.447,2.699,3.167,3.12
64.0,-0.652,-0.454,2.512,2.728,3.164,3.182
64.8,-0.571,-0.443,2.556,2.794,3.127,3.237
65.6,-0.523,-0.402,2.573,2.871,3.096,3.273
66.4,-0.526,-0.369,2.589,2.931,3.114,3.3
67.2,-0.594,-0.336,2.605,2.964,3.199,3.299
68.0,-0.629,-0.327,2.632,2.98,3.26,3.308
68.8,-0.609,-0.322,2.654,3.016,3.263,3.338
69.6,-0.61,-0.32,2.676,3.034,3.286,3.354
70.4,-0.615,-0.31,2.7,3.07,3.315,3.38
71.2,-0.623,-0.298,2.727,3.101,3.35,3.399
72.0,-0.619,-0.294,2.748,3.125,3.367,3.419
72.8,-0.616,-0.291,2.767,3.146,3.383,3.437
73.6,-0.618,-0.284,2.784,3.177,3.403,3.46
74.4,-0.615,-0.278,2.809,3.203,3.424,3.481
75.2,-0.61,-0.273,2.83,3.228,3.44,3.501
76.0,-0.612,-0.269,2.845,3.249,3.457,3.518
76.8,-0.618,-0.266,2.862,3.265,3.48,3.531
77.6,-0.611,-0.259,2.878,3.296,3.49,3.554
78.4,-0.612,-0.256,2.895,3.313,3.508,3.569
79.2,-0.612,-0.255,2.914,3.329,3.526,3.584
80.0,-0.611,-0.251,2.929,3.352,3.54,3.603
80.8,-0.61,-0.248,2.946,3.369,3.556,3.616
81.6,-0.61,-0.246,2.961,3.386,3.571,3.632
82.4,-0.61,-0.241,2.972,3.409,3.582,3.65
83.2,-0.609,-0.237,2.985,3.426,3.594,3.664
84.0,-0.607,-0.234,3.002,3.447,3.609,3.681
84.8,-0.603,-0.234,3.018,3.462,3.622,3.695
85.6,-0.609,-0.233,3.03,3.473,3.638,3.706
86.4,-0.605,-0.226,3.042,3.499,3.647,3.724
87.2,-0.606,-0.223,3.059,3.516,3.665,3.739
88.0,-0.606,-0.224,3.073,3.524,3.679,3.748
88.8,-0.609,-0.221,3.082,3.541,3.691,3.762
89.6,-0.606,-0.218,3.095,3.554,3.701,3.772
90.4,-0.605,-0.217,3.109,3.567,3.714,3.784
91.2,-0.603,-0.217,3.125,3.582,3.728,3.799
92.0,-0.604,-0.216,3.138,3.597,3.742,3.813
92.8,-0.604,-0.21,3.148,3.615,3.752,3.825
93.6,-0.608,-0.209,3.156,3.628,3.764,3.838
94.4,-0.607,-0.207,3.164,3.642,3.771,3.849
95.2,-0.609,-0.207,3.173,3.65,3.782,3.858
96.0,-0.607,-0.212,3.184,3.659,3.792,3.872
96.8,-0.604,-0.227,3.189,3.65,3.793,3.877
97.6,-0.6,-0.218,3.217,3.691,3.816,3.909
98.4,-0.596,-0.223,3.23,3.708,3.826,3.931
99.2,-0.601,-0.21,3.242,3.718,3.843,3.928
100.0,-0.604,-0.205,3.255,3.723,3.859,3.928
100.8,-0.604,-0.208,3.257,3.736,3.861,3.945
101.6,-0.601,-0.209,3.263,3.749,3.863,3.958
102.4,-0.593,-0.209,3.286,3.759,3.879,3.969
103.2,-0.597,-0.199,3.303,3.777,3.901,3.976
104.0,-0.593,-0.19,3.311,3.814,3.905,4.004
104.8,-0.596,-0.196,3.315,3.807,3.911,4.003
105.6,-0.592,-0.195,3.326,3.818,3.919,4.013
106.4,-0.578,-0.189,3.348,3.835,3.926,4.023
107.2,-0.554,-0.193,3.389,3.888,3.942,4.082
108.0,-0.558,-0.189,3.427,3.922,3.985,4.112
108.8,-0.569,-0.181,3.448,3.934,4.017,4.115
109.6,-0.575,-0.206,3.421,3.892,3.996,4.098
