t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.009,-0.01,0.001,0.001,0.01,0.011
0.8,-0.017,-0.019,0.001,0.001,0.018,0.02
1.6,-0.02,-0.022,0.001,0.001,0.021,0.023
2.4,-0.019,-0.022,0.001,0.001,0.021,0.023
3.2,-0.019,-0.021,0.001,0.001,0.02,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.021,0.001,0.002,0.02,0.023
7.2,-0.019,-0.021,0.001,0.002,0.02,0.023
8.0,-0.019,-0.021,0.001,0.002,0.02,0.023
8.8,-0.02,-0.021,0.001,0.002,0.021,0.022
9.6,-0.02,-0.021,0.001,0.001,0.021,0.022
10.4,-0.02,-0.022,0.001,0.001,0.021,0.023
11.2,-0.02,-0.022,0.001,0.001,0.021,0.023
12.0,-0.02,-0.022,0.001,0.001,0.02,0.023
12.8,-0.019,-0.022,0.001,0.001,0.02,0.023
13.6,-0.019,-0.022,0.001,0.001,0.02,0.023
14.4,-0.019,-0.021,0.001,0.001,0.02,0.022
15.2,-0.019,-0.021,0.001,0.002,0.02,0.023
16.0,-0.019,-0.021,0.001,0.002,0.02,0.023
16.8,-0.019,-0.021,0.001,0.002,0.02,0.023
17.6,-0.019,-0.021,0.001,0.002,0.02,0.023
18.4,-0.019,-0.022,0.001,0.001,0.02,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.02,-0.022,0.001,0.001,0.021,0.023
20.8,-0.019,-0.021,0.001,0.001,0.02,0.022
21.6,-0.019,-0.021,0.001,0.001,0.02,0.022
22.4,-0.019,-0.021,0.001,0.001,0.02,0.022
23.2,-0.019,-0.021,0.001,0.002,0.02,0.022
24.0,-0.019,-0.021,0.001,0.002,0.02,0.023
24.8,-0.019,-0.021,0.001,0.002,0.02,0.023
25.6,-0.019,-0.022,0.001,0.002,0.02,0.023
26.4,-0.019,-0.022,0.001,0.001,0.02,0.023
27.2,-0.019,-0.022,0.001,0.001,0.02,0.023
28.0,-0.018,-0.019,0.002,0.005,0.021,0.023
28.8,-0.017,-0.018,0.003,0.005,0.021,0.024
29.6,-0.018,-0.02,0.003,0.004,0.02,0.024
30.4,-0.019,-0.022,0.001,0.001,0.021,0.023
31.2,-0.019,-0.021,0.001,0.001,0.02,0.022
32.0,-0.02,-0.021,0.001,0.002,0.021,0.023
32.8,-0.019,-0.021,0.001,0.002,0.02,0.023
33.6,-0.019,-0.021,0.001,0.002,0.02,0.022
34.4,-0.019,-0.02,0.001,0.001,0.02,0.022
35.2,-0.019,-0.021,0.001,0.001,0.02,0.022
36.0,-0.019,-0.021,0.001,0.001,0.02,0.022
36.8,-0.019,-0.021,0.001,0.001,0.02,0.023
37.6,-0.019,-0.021,0.001,0.001,0.02,0.022
38.4,-0.019,-0.021,0.001,0.001,0.02,0.022
39.2,-0.019,-0.021,0.001,0.002,0.02,0.023
40.0,-0.019,-0.021,0.001,0.002,0.02,0.023
40.8,-0.019,-0.021,0.001,0.002,0.02,0.023
41.6,-0.019,-0.021,0.001,0.002,0.02,0.023
42.4,-0.019,-0.021,0.001,0.002,0.02,0.023
43.2,-0.019,-0.022,0.001,0.001,0.02,0.023
44.0,-0.02,-0.021,0.001,0.001,0.021,0.022
44.8,-0.019,-0.021,0.001,0.001,0.02,0.022
45.6,-0.211,-0.098,1.56,1.82,1.771,1.918
